favorite_count,retweet_count,tweet_id
32162,6029,892177421306343426
40731,8301,891689557279858688
19567,2985,891087950875897856
63105,18106,890729181411237888
30872,7076,890240255349198849
26931,4783,889880896479866881
26204,4349,889638837579907072
24415,5163,889278841981685760
24737,4108,888804989199671297
21050,3342,888078434458587136
44802,11232,887517139158093824
32569,10010,887343217045368832
33951,7432,886983233522544640
21700,4281,886680336477933568
116,4,886267009285017600
0,105,886054160059072513
34794,6168,885528943205470208
0,17792,885311592912609280
74823,17501,884925521741709313
23502,4498,884562892145688576
70521,19723,884247878851493888
21161,3305,883838122936631299
21958,3561,883360690899218434
23150,3766,882992080364220416
27031,5849,882627270321602560
28363,4752,882045870035918850
48983,10268,881666595344535552
47817,15345,881536004380872706
16499,2685,880935762899988482
27587,6026,880465832366813184
26744,4172,880095782870896641
301,10,879674319642796034
102468,42648,879415818425184262
0,6551,879130579576475649
18363,2594,879008229531029506
29242,6932,878604707211726852
0,6402,878316110768087041
40749,6551,878057613040115712
0,77,877611172832227328
26541,5013,877316821321428993
20053,3219,876838120628539392
18194,2307,876484053909872640
24408,4148,875747767867523072
26590,5852,875097192612077568
27001,4492,874680097055178752
25274,3981,874296783580663808
33508,10067,874012996292530176
0,1537,873337748698140672
26516,5251,872967104147763200
20190,3574,872620804844003328
33455,7903,872122724285648897
19734,3388,871762521631449091
0,5535,871166179821445120
22129,3721,871032628920680449
118,3,870726314365509632
80782,25619,870374049280663552
35780,8150,870063196459192321
27619,6197,869702957897576449
19995,3706,869227993411051520
0,2047,868639477480148993
9905,2047,868552278524837888
33290,7219,867774946302451713
0,119,867072653475098625
19688,4737,866720684873056260
120086,34777,866450705531457537
0,8244,866094527597207552
26037,4940,865359393868664832
31770,8617,864873206498414592
29643,8831,864197398364647424
15085,4140,863553081350529029
23478,5181,863432100342583297
8650,1094,863079547188785154
18930,5068,862831371563274240
20246,4915,862457590147678208
35701,10633,861383897657036800
16541,3778,861005113778896900
0,812,860924035999428608
23381,5260,860524505164394496
16527,5840,860184849394610176
19398,4068,859924526012018688
18442,1568,859607811541651456
33620,13630,859074603037188101
15450,3490,858843525470990336
15644,2909,858107933456039936
34109,10677,857746408056729600
19945,4535,857263160327368704
0,170,857062103051644929
16242,2903,856543823941562368
0,681,856330835276025856
27689,6378,856282028240666624
4999,1036,855860136149123072
45577,17979,855851453814013952
29940,8319,855459453768019968
0,46,855138241867124737
29415,6984,854482394044301312
32171,7611,854120357044912130
28782,5880,853760880890318849
15633,3626,853299958564483072
9149,1876,852912242202992640
16502,3591,852553447878664193
20223,6967,852226086759018497
0,22,851861385021730816
24573,7268,851464819735769094
31358,9505,850753642995093505
3497,347,850333567704068097
20753,5026,850019790995546112
0,5099,849668094696017920
11595,1954,849336543269576704
25640,4453,848690551926992896
8335,768,848213670039564288
0,3360,847978865427394560
23969,5264,847962785489326080
7130,436,847617282490613760
20879,4435,847251039262605312
21862,3297,847116187444137987
45598,12022,846514051647705089
32378,9407,846153765933735936
16358,2992,846042936437604353
25744,4956,845677943972139009
23894,5595,845306882940190720
13948,2668,844979544864018432
16892,3258,844580511645339650
15527,3054,843981021012017153
17311,2872,843604394117681152
15644,3769,842846295480000512
18582,3650,842535590457499648
14380,3171,842115215311396866
26365,8099,841680585030541313
20338,5700,841320156043304961
23517,5535,841077006473256960
0,16882,840728873075638272
12643,1028,840696689258311684
16945,4753,840370681858686976
13818,2400,839990271299457024
0,148,839290600511926273
20215,4172,838952994649550848
0,36,838916489579200512
11269,1388,838561493054533637
0,10565,838201503651401729
145,1,838085839343206401
35249,8244,837820167694528512
13203,2389,837471256429613056
13121,2412,836989968035819520
13015,2331,836677758902222849
0,29134,836397794269200385
21988,4504,836260088725786625
0,8563,835685285446955009
0,1794,835536468978302976
16992,3160,835297930240217089
2170,74,835246439529840640
23220,3184,835152434251116546
21958,5805,834786237630337024
0,11262,834477809192075265
21314,5030,834209720923721728
10398,2245,834089966724603904
13882,2524,833863086058651648
0,227,833732339549220864
15365,2165,833479644947025920
13769,2335,832998151111966721
17421,3818,832757312314028032
3029,550,832645525019123713
12359,2341,832397543355072512
11723,2460,832273440279240704
0,9898,832215726631055365
0,10238,832040443403784192
24862,6475,831939777352105988
28675,6890,831911600680497154
7450,2054,831650051525054464
9578,1622,831322785565769729
12179,2592,831309418084069378
8270,1579,830956169170665475
0,6024,830173239259324417
0,5329,829878982036299777
32964,11262,829501995190984704
25392,7844,829141528400556032
0,3593,828801551087042563
38005,11914,828708714936930305
6574,1219,828409743546925057
13130,2364,828381636999917570
13056,3136,828372645993398273
12227,3037,828046555563323392
20916,5547,827933404142436356
7701,1006,827600520311402496
10999,2379,827199976799354881
37912,10858,826848821049180160
5308,266,826598799820865537
19188,4464,826476773533745153
5076,984,826204788643753985
10893,1992,825876512159186944
54356,18314,825535076884762624
0,1362,825120256414846976
0,5847,824796380199809024
10511,1849,824663926340194305
15713,4113,824297048279236611
11093,2891,823939628516474880
14518,2672,823699002998870016
730,26,823333489516937216
0,10495,823269594223824897
137864,46742,822872901745569793
0,6835,822647212903690241
18962,6835,822489057087389700
36565,10495,822244816520155136
11847,2493,821886076407029760
8789,1769,821765923262631936
0,5975,821421320206483457
265,10,821153421864615936
10032,2268,821107785811234820
0,7163,820837357901512704
12767,3448,820690176645140481
0,2761,820446719150292993
20719,6711,820078625395449857
5575,1269,819952236453363712
14064,3350,819711362133872643
7548,1283,819347104292290561
24157,7163,819227688460238848
0,20293,819015331746349057
90839,39398,819004803107983360
23399,8027,818627210458333184
0,6581,818588835076603904
0,8703,818307523543449600
12848,2769,818145370475810820
54257,29134,817827839487737858
12357,3255,817536400337801217
35707,15969,817423860136083457
0,9096,817181837579653120
12785,2801,817120970343411712
0,5035,816829038950027264
10275,2352,816697700272001025
9023,2088,816336735214911488
0,1116,816062466425819140
5226,1116,815990720817401858
0,4429,815745968457060357
8627,1757,815639385530101762
8026,1378,814986499976527872
0,6222,814578408554463233
30236,9299,814153002265309185
9771,2002,813910438903693312
8774,1886,813800681631023104
9661,1936,813202720496779264
9784,2055,813172488309972993
8873,2531,813142292504645637
12446,3364,813127251579564032
11062,3864,813096984823349248
8374,2089,813066809284972545
7978,2051,812781120811126785
6391,1311,812503143955202048
14386,3948,812372279581671427
7938,1713,811744202451197953
13442,3337,811627233043480576
5613,1544,810984652412424192
11536,2844,810657578271330305
15447,3593,810254108431155201
0,5259,809808892968534016
20976,6024,809220051211603969
10637,3277,808838249661788160
11877,2788,808501579447930884
0,6378,808134635716833280
13233,3814,808001312164028416
124885,59850,807106840509214720
13746,4125,807010152071229440
0,5953,806620845233815552
10758,2533,806542213899489280
6777,1280,806219024703037440
8715,2059,805932879469572096
0,8651,805823200554876929
9263,2733,805487436403003392
14441,4126,804738756058218496
0,3471,804413760345620481
10585,2970,803773340896923648
11559,4428,803638050916102144
0,5707,803321560782307329
9529,2158,802952499103731712
7495,1584,802600418706604034
17093,6276,802323869084381190
9558,2816,802239329049477120
8147,1841,801958328846974976
8639,2210,801538201127157760
25841,6378,801167903437357056
8520,2255,801115127852503040
0,1751,800855607700029440
13852,3239,800513324630806528
0,4641,800443802682937345
0,4250,800188575492947969
29927,14190,800018252395122689
8851,2329,799757965289017345
0,5939,799308762079035393
8514,2656,799063482566066176
7858,1530,798925684722855936
0,8376,798701998996647937
0,5333,798694562394996736
0,5069,798682547630837760
0,4192,798665375516884993
0,2117,798628517273620480
0,6287,798576900688019456
10947,2750,798209839306514432
15323,5214,797545162159308800
238,28,797165961484890113
8099,2045,796865951799083009
0,7843,796563435802726400
11601,4485,796387464403357696
34067,15423,796149749086875649
9619,2599,796116448414461957
11416,3966,796031486298386433
10644,3096,795400264262053889
0,3637,794983741416415232
0,11074,794355576146903043
9720,3564,794205286408003585
9724,2017,793845145112371200
8422,1752,793601777308463104
25944,9898,793286476301799424
21105,8987,793256262322548741
10378,3086,793226087023144960
16130,6065,793195938047070209
9938,2990,793165685325201412
6809,2683,793135492858580992
15121,4311,792913359805018113
7749,1803,792773781206999040
7563,1944,792050063153438720
0,10355,791784077045166082
47603,23908,791774931465953280
13829,4429,791406955684368384
0,4427,791026214425268224
17528,5035,790946055508652032
8645,2060,790698755171364864
8240,2004,790337589677002753
0,3841,790227638568808452
0,4438,789960241177853952
7908,1912,789628658055020548
12413,3637,789530877013393408
0,5315,789280767834746880
10215,3005,789137962068021249
28892,11074,788765914992902144
16394,5692,788412144018661376
6468,1401,788150585577050112
6468,1419,788039637453406209
10767,2993,787717603741622272
8208,1880,787322443945877504
